-9223372036854775808,NaN
-9223372036854775808,NaN
1408521600000,0.4798436033781671
1416211200000,0.48526774584045484
1416380400000,0.49062858009299826
1417424400000,0.48719241343270014
1417510800000,0.48928657835843464
1418209200000,0.49093038086023394
1418810400000,0.4946104547462542
1418893200000,0.49588190027838763
1418900400000,0.4961149055102078
1418976000000,0.4924400439115015
1418979600000,0.48993094317090263
1419408000000,0.49209662086250106
1419411600000,0.49302009825030096
1419490800000,0.494125854633101
1419494400000,0.49470518391725987
