,10,20,30,40,50,60,70
10,0.973794244,0.973530293,0.972127841,0.973044735,0.972340464,0.972117927,0.97740113
20,0.935905001,0.93972175,0.938807611,0.940190259,0.942652481,0.945554003,0.953389831
30,0.91963138,0.920653464,0.920251968,0.925017049,0.925097581,0.929232879,0.942090395
40,0.893256002,0.897105574,0.895512127,0.899117078,0.90381721,0.894851675,0.920433145
50,0.888755381,0.880109071,0.882734677,0.883840015,0.876556836,0.888640745,0.91007533
60,0.858997121,0.852660903,0.847056782,0.854808157,0.866596653,0.862371416,0.892655367
70,0.861526449,0.8621405,0.858259439,0.862167037,0.864720631,0.86508695,0.896421846
80,0.83864517,0.851940971,0.849935778,0.860088945,0.850048295,0.866185845,0.887947269
90,0.8422637,0.844916671,0.844419969,0.832734333,0.839890816,0.844052908,0.874293785
